fundo_normalizado,estacion,red,station_id,criterio_asignacion,gap_inicio,gap_fin,gap_dias,fecha_ejecucion,tipo_gap,incluye_dias_futuros_respecto_ejecucion,incluye_dias_pasados_reales,bloqueante_dashboard_exploratorio,comentario
Idahue,Idahue,ZENTRA,z6-28663,historica,2026-05-19,2026-05-31,13,2026-05-27,incluye_dias_futuros,True,True,NO,"Gap incluye dias ya transcurridos y dias futuros; actualizar datos cuando cierre el periodo, no bloquea dashboard exploratorio."
Keule,Keule,ZENTRA,A4100457,historica,2025-05-01,2025-05-17,17,2026-05-27,historico_real,False,True,NO,Gap historico real; revisar si afecta modelos operacionales.
Keule,Keule,ZENTRA,A4100457,historica,2026-05-19,2026-05-31,13,2026-05-27,incluye_dias_futuros,True,True,NO,"Gap incluye dias ya transcurridos y dias futuros; actualizar datos cuando cierre el periodo, no bloquea dashboard exploratorio."
Los Acacios,"Los Acacios, Ovalle",INIA/AGROMET,,nombre,2026-05-28,2026-05-31,4,2026-05-27,solo_dias_futuros,True,False,NO,Gap futuro respecto a la ejecucion; no bloquea dashboard exploratorio.
Lourdes,"Pencahue, Pencahue",INIA/AGROMET,,manual_preferida,2026-05-28,2026-05-31,4,2026-05-27,solo_dias_futuros,True,False,NO,Gap futuro respecto a la ejecucion; no bloquea dashboard exploratorio.
Mariposas,"San Clemente, San Clemente",INIA/AGROMET,INIA-135,historica,2026-05-28,2026-05-31,4,2026-05-27,solo_dias_futuros,True,False,NO,Gap futuro respecto a la ejecucion; no bloquea dashboard exploratorio.
Nilahue,Lolol Nilahue,Meteovid/datavid,66,historica,2026-05-19,2026-05-31,13,2026-05-27,incluye_dias_futuros,True,True,NO,"Gap incluye dias ya transcurridos y dias futuros; actualizar datos cuando cierre el periodo, no bloquea dashboard exploratorio."
Palo Santo,"Liceo Jean Buchanan, Peumo",INIA/AGROMET,,historica,2026-05-28,2026-05-31,4,2026-05-27,solo_dias_futuros,True,False,NO,Gap futuro respecto a la ejecucion; no bloquea dashboard exploratorio.
Peumo,"Liceo Jean Buchanan, Peumo",INIA/AGROMET,,historica,2026-05-28,2026-05-31,4,2026-05-27,solo_dias_futuros,True,False,NO,Gap futuro respecto a la ejecucion; no bloquea dashboard exploratorio.
Quebrada Seca,Ovalle Quebrada Seca,Meteovid/datavid,64,nombre,2026-05-19,2026-05-31,13,2026-05-27,incluye_dias_futuros,True,True,NO,"Gap incluye dias ya transcurridos y dias futuros; actualizar datos cuando cierre el periodo, no bloquea dashboard exploratorio."
Quebrada de Agua,"San Clemente, San Clemente",INIA/AGROMET,INIA-135,historica,2026-05-28,2026-05-31,4,2026-05-27,solo_dias_futuros,True,False,NO,Gap futuro respecto a la ejecucion; no bloquea dashboard exploratorio.
Quinta Maipo,Isla De Maipo Tarapaca,Meteovid/datavid,15,historica,2026-05-19,2026-05-31,13,2026-05-27,incluye_dias_futuros,True,True,NO,"Gap incluye dias ya transcurridos y dias futuros; actualizar datos cuando cierre el periodo, no bloquea dashboard exploratorio."
Rauco,Curico Cerrillo,Meteovid/datavid,109,historica_equivalencia_aceptada,2026-05-19,2026-05-31,13,2026-05-27,incluye_dias_futuros,True,True,NO,"Gap incluye dias ya transcurridos y dias futuros; actualizar datos cuando cierre el periodo, no bloquea dashboard exploratorio."
Rucahue,Idahue,ZENTRA,z6-28663,rucahue_zentra_cloud_idahue,2026-05-19,2026-05-31,13,2026-05-27,incluye_dias_futuros,True,True,NO,"Gap incluye dias ya transcurridos y dias futuros; actualizar datos cuando cierre el periodo, no bloquea dashboard exploratorio."
San Adolfo,"La Platina, La Pintana",INIA/AGROMET,,historica,2026-05-28,2026-05-31,4,2026-05-27,solo_dias_futuros,True,False,NO,Gap futuro respecto a la ejecucion; no bloquea dashboard exploratorio.
San Ignacio,Peralillo Calleuque,Meteovid/datavid,31,proximidad,2026-05-19,2026-05-31,13,2026-05-27,incluye_dias_futuros,True,True,NO,"Gap incluye dias ya transcurridos y dias futuros; actualizar datos cuando cierre el periodo, no bloquea dashboard exploratorio."
Santa Isabel,"La Platina, La Pintana",INIA/AGROMET,,historica,2026-05-28,2026-05-31,4,2026-05-27,solo_dias_futuros,True,False,NO,Gap futuro respecto a la ejecucion; no bloquea dashboard exploratorio.
Ucuquer,Ucuquer,ZENTRA,z6-28614,historica,2026-05-19,2026-05-31,13,2026-05-27,incluye_dias_futuros,True,True,NO,"Gap incluye dias ya transcurridos y dias futuros; actualizar datos cuando cierre el periodo, no bloquea dashboard exploratorio."
Villa Alegre,San Javier Mingre,Meteovid/datavid,39,historica,2026-05-19,2026-05-31,13,2026-05-27,incluye_dias_futuros,True,True,NO,"Gap incluye dias ya transcurridos y dias futuros; actualizar datos cuando cierre el periodo, no bloquea dashboard exploratorio."
Yungay,Peralillo Calleuque,Meteovid/datavid,31,proximidad,2026-05-19,2026-05-31,13,2026-05-27,incluye_dias_futuros,True,True,NO,"Gap incluye dias ya transcurridos y dias futuros; actualizar datos cuando cierre el periodo, no bloquea dashboard exploratorio."
